vend_lon,vend_lat
-118.2914872,33.9891116
-118.3009157,34.0577067
-118.1669736,34.0224417
-118.2533364,34.0337103
-118.3009157,34.0577067
-118.2965579,34.0577297
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2556127,34.0361
-118.1669736,34.0224417
-118.2399424,34.0462473
-118.2965579,34.0577297
-118.2832823,34.0593754
-118.1669736,34.0224417
-118.2557214,34.0271208
-118.2522071,34.0352439
-118.5220998,34.2358245
-118.317711,34.0188775
-118.2978505,33.7976111
-118.2114597,34.0415707
-118.317711,34.0188775
-118.2522071,34.0352439
-118.317711,34.0188775
-118.2522071,34.0352439
-118.2517828,34.0487969
-118.2556127,34.0361
-118.1669736,34.0224417
-118.4911912,34.0194543
-118.2517828,34.0487969
-118.2832823,34.0593754
-118.292338,34.0183029
-118.25487,34.03705
-118.1669736,34.0224417
-118.2422967,34.0276563
-118.1669736,34.0224417
-118.2914872,33.9891116
-118.2914872,33.9891116
-118.2998279,34.0577137
-118.2522071,34.0352439
-118.2556127,34.0361
-118.2522071,34.0352439
-118.1597911,33.8894598
-118.2914872,33.9891116
-118.1669736,34.0224417
-118.1597911,33.8894598
-118.3009157,34.0577067
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.3286614,34.0928092
-118.2920317,34.0904958
-118.4911912,34.0194543
-118.3286614,34.0928092
-118.4393086,34.2353472
-118.3286614,34.0928092
-118.2832823,34.0593754
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.2832823,34.0593754
-118.2832823,34.0593754
-118.1669736,34.0224417
-118.2832823,34.0593754
-118.2689137,34.0096778
-118.2832823,34.0593754
-118.3009157,34.0577067
-118.2832823,34.0593754
-118.2117682,34.0736835
-118.1669736,34.0224417
-118.2922461,33.7360619
-118.1669736,34.0224417
-118.2832823,34.0593754
-118.1669736,34.0224417
-118.2832823,34.0593754
-118.2922461,33.7360619
-118.2522071,34.0352439
-118.2922461,33.7360619
-118.2832823,34.0593754
-118.2922461,33.7360619
-118.2832823,34.0593754
-118.1669736,34.0224417
-118.5220998,34.2358245
-118.1669736,34.0224417
-118.2922461,33.7360619
-118.2008504,34.043754
-118.1669736,34.0224417
-118.1669736,34.0224417
-118.5220998,34.2358245
-118.1669736,34.0224417
